	name	ssn	relationship	leukocyty	trombocyty	erytrocyty	er-cv	smoker	hemoglobin	indicator	hbver	hematokrit	etytr	alt	weight	ast	alp
3217	Lindsey Taylor	271-12-8694	divoced	6.05087	4.33337	4.79025	42.24386	no	7.03799	0.00000	6.80619	7.90461	3.54451	7.29072	88.00533	51.97818	77.23259
3218	Cynthia Williams	636-69-8831	married	6.43055	6.86352	6.03492	31.51104	no	5.46916	1.00000	2.84951	5.99094	6.26478	8.05357	59.12300	37.80002	73.55136
3219	Karen Munoz	215-60-0341	single	5.99449	8.01957	7.43617	48.50704	yes	5.23767	0.00000	7.53743	4.39771	7.98332	18.70242	85.00816	34.05200	72.56446
3220	Robert Sanders	818-23-0832	divoced	5.47203	6.53054	5.81128	37.48723	no	5.66627	1.00000	3.96174	8.09607	4.42825	9.53188	89.63834	28.26746	79.63963
3221	Anthony Walker	057-22-2345	single	6.45864	5.27868	6.11175	45.39413	no	5.49693	1.00000	5.21362	7.61905	5.44706	6.34498	110.54748	56.34225	71.14766
3222	Kristine Potts	001-08-9870	married	6.09770	4.16625	5.04418	23.14558	no	5.28426	1.00000	3.04302	8.03145	6.62066	5.65478	84.18044	72.50176	76.26437
3223	Stephanie Bass	288-17-4327	separated	6.68702	4.58289	6.68867	38.89256	Y	5.30696	1.00000	5.09687	6.48405	4.10465	10.57528	65.08958	62.38650	70.28270
3224	Dylan Mercer	309-22-2848	single	6.81442	5.46631	5.68122	56.78821	Y	6.74491	0.00000	6.51270	6.14599	6.48070	7.43205	20.34360	27.49972	81.24375
3225	Lisa Barr	209-73-7399	separated	5.05789	6.10454	5.64678	53.74414	Y	6.62016	1.00000	5.35216	5.71880	6.68551	10.69881	80.93216	35.02154	91.54973
3226	Amanda Carson	649-42-0846	married	5.64046	7.88400	6.95252	35.10119	yes	6.35649	0.00000	8.06790	4.68256	4.89257	11.04477	74.42805	45.90159	80.39606
3227	Gregory Clay	715-22-5893	single	6.95968	6.87514	6.76322	54.34825	no	4.84718	1.00000	3.93909	7.64898	4.31485	14.79277	44.96088	64.59418	54.27638
3228	Jay Gardner	641-34-5649	divoced	4.39689	7.07173	6.28635	60.83677	no	5.51236	1.00000	6.29987	5.96622	5.94925	8.40775	62.04166	63.11332	74.38507
3229	Wayne Smith	478-98-5286	divoced	5.15921	6.71456	6.22368	52.25272	no	6.22440	1.00000	6.51702	4.86220	5.02366	9.94822	65.33219	58.79308	86.53427
3230	Miranda Harris	503-11-7666	married	4.86124	8.15572	5.01960	59.80975	no	7.10431	0.00000	7.12614	4.53706	3.90071	7.66872	76.14215	6.12650	75.65501
3231	Jimmy Conrad	859-17-6950	divoced	5.38614	6.03746	5.64965	57.05836	yes	5.56741	1.00000	5.67802	5.79800	6.09105	6.31718	60.42195	36.21321	82.18544
3232	Donald Pham	381-37-8679	single	5.88519	7.40000	5.86156	70.16729	no	5.84428	0.00000	8.60843	3.79189	6.15469	10.37264	146.17533	49.67712	84.26140
3233	Jon Shepherd	088-54-2835	divoced	7.34709	5.31841	5.91732	34.78755	yes	7.17695	1.00000	3.65762	7.07312	4.00937	9.04367	66.05861	48.04714	71.39962
3234	Robert Jimenez	506-06-4641	divoced	1.87239	5.28310	4.38099	36.02388	no	9.04899	0.00000	7.83353	6.34209	3.76479	9.78044	80.54182	35.87694	10.42362
3235	Chelsea Wilson	072-67-1893	separated	4.65564	6.29446	5.78759	38.96535	yes	5.87112	1.00000	6.12235	7.54844	3.52575	10.76658	87.62035	47.73331	82.76577
3236	Hannah Tran	603-33-8760	nop	4.99784	3.62137	5.69936	42.57385	N	6.68071	1.00000	5.73541	5.03589	3.24505	4.54494	83.31750	58.41470	78.06363
3237	Timothy Mendoza	405-42-9184	single	7.25392	6.52423	5.48145	66.32772	Y	4.04678	1.00000	4.69607	6.51993	5.18820	10.95301	53.77597	43.61631	24.09178
3238	Nicholas Harris	768-71-3733	divoced	6.08885	5.19705	6.28467	61.20284	Y	5.89841	1.00000	4.19739	6.20548	6.84049	6.76983	-15.30015	54.41961	90.21994
3239	Francisco Santos	067-75-0609	married	5.57708	6.37874	4.05225	48.62513	no	6.60871	1.00000	5.42717	8.06827	3.84657	4.19100	87.34721	56.36048	84.65832
3240	Dominic Chan	557-33-0685	single	5.17911	3.85549	5.17681	49.69857	Y	6.00120	1.00000	3.76527	6.72743	5.23014	7.18425	123.21427	34.04981	84.19455
3241	Mary Young	639-13-5112	divoced	4.93859	6.86256	6.63957	20.75124	yes	4.16800	1.00000	5.14374	7.03501	4.23640	6.54480	28.58603	55.71665	35.16003
3242	Christine Morris	719-19-5928	single	7.21122	4.97118	6.77411	59.13810	yes	6.80246	0.00000	7.98873	6.75775	4.43270	9.75675	102.33060	49.40655	75.83742
3243	Patricia Lopez	887-38-3442	nop	5.88758		6.20025	23.52028	yes	6.09728	1.00000	7.12680	9.07787	2.62972	8.59571	105.32787	32.39735	79.47359
3244	Jack Martin	437-46-3936	divoced	4.91834	5.79484	6.92499	58.62414	yes	7.00104	1.00000	4.08235	5.99893	6.05808	9.60770	129.96630	54.71835	80.70700
3245	Amy Chavez	464-87-8662	divoced	7.08270	7.59123	5.67226	31.39159	yes	6.45685	1.00000	4.57414	6.91337	4.77917	7.58571	72.05598	50.52437	88.51391
3246	Keith Baker	321-58-9420	single	4.05133	4.73351	5.98462	61.21335	yes	5.82765	1.00000	4.25550	7.58581	6.09395	9.12201	109.74717	39.00156	91.25882
3247	Todd Morgan DDS	153-76-6352	divoced	5.76548	7.80428	7.47158	55.61668	Y	5.97220	1.00000	4.30783	7.63790	4.64283	13.33863	101.38263	42.57062	87.19618
3248	Robert Jimenez	506-06-4641	single	5.27362	2.97736	5.86160	33.44189	no	4.10206	1.00000	4.38192	5.48761	3.60162	10.14749	53.95329	29.49176	29.71621
3249	Joseph Caldwell	133-94-6353	widowed	5.96097	4.94237	5.55004	48.75690	Y	6.79740	0.00000	8.32525	6.53109	5.07583	11.08359	60.48890	44.20973	81.86569
3250	Amanda Hill	552-08-4274	divoced	6.21217	5.09742	7.42572	42.55536	no	2.94632	0.00000	7.77817	4.80495	3.83936	16.85935	55.18660	59.57959	
3251	Michele Stone	550-83-7559	divoced	4.87051	4.94866	4.58319	51.82564	no	6.35282	1.00000	4.70817	8.08499	4.79359	10.08322	56.11008	55.17911	92.29020
3252	Jamie Frazier	388-01-5142	separated	7.17557	6.79358	4.69972	31.98062	yes	6.24803	1.00000	3.74005	5.72130	5.96635	6.22502	32.43819	43.52990	87.31984
3253	Jeffery Jones	469-32-8962	divoced		7.53956	6.03182	41.81078	yes	6.50110	0.00000	6.71392	4.73231	5.44159	12.22528	11.76172	54.82161	85.24903
3254	Nancy Cardenas	423-51-9549	nop	6.72312	3.93081	6.79198	42.50532	no	4.48305	1.00000	2.56109	8.15391	5.96644	7.43166	73.85327	42.18530	41.67777
3255	Heather Coleman	544-44-0083	widowed	5.09852	5.97560	7.35833	46.48778	no	5.90131	1.00000	5.08836	6.30521	5.15908	14.14064	91.79975	40.86240	87.79533
3256	Anna Lee	379-95-0336	widowed	4.79246	6.71373	7.21117	61.24701	no	6.50253	1.00000	3.88232	7.32412	4.35804	13.54399	77.34157	29.34781	86.52723
3257	Aimee Davis	377-50-0527	single	5.69855	4.46896	6.47201	39.78278	Y	5.68894	1.00000	4.18729	6.93064	4.45092	8.79254	34.93471	50.70737	80.07953
3258	Cody Garrett	134-43-7393	married	8.21978	6.54160	6.35018	39.37073	Y	6.69141	1.00000	4.57801	9.08098	4.93966	12.85684	86.32604	43.20313	88.92760
3259	Nicole Brown	596-17-5567	married	5.55009	5.35486	6.01602	61.14823	N	6.56175	0.00000	8.27871	6.16273	6.10803	11.24553	71.30757	30.47936	83.75885
3260	Holly Wallace	814-14-5858	separated	7.14791	2.79095	6.41833	46.95791	no	4.42669	1.00000	4.68055	4.98008	4.39088	7.41693	45.45753	35.36274	32.56747
3261	William Cole	896-60-1723	widowed	6.49075	5.28200	5.74933	40.49535	no	4.50486	0.00000	7.94370	6.07884	5.60648	6.54857	63.74720	39.32927	41.34641
3262	Ivan Smith	749-96-9183	nop	6.89928	6.85997	4.87677	40.49227	no	6.27163	0.00000	7.60398	4.16606	5.02140	7.71923	110.45452	68.19035	84.56422
3263	Jennifer Woods	881-38-8745	married	6.76741	7.47185	5.04073	50.60346	no	6.83187	1.00000	4.79516	6.18312	5.04024	6.32547	66.19301	46.68339	86.44034
3264	Robert Woods	533-70-0660	divoced	6.77399	4.09463	6.32367	44.52178	yes	5.07517	0.00000	3.95099	6.66093	3.55921	13.46365	39.77410	26.92398	62.70477
3265	Nancy Boyle	602-82-0452	widowed	7.79962	7.10557	6.52253	40.15377	no	7.43480	1.00000	4.34188	7.25488	5.30677	11.17792	94.48059	78.19430	66.08018
3266	Sarah James	020-75-7244	single	8.56820	5.66174	6.61288	43.90697	Y	7.11773	1.00000	1.25948	6.17621	6.12458	10.49881	105.16245	49.65942	80.65833
3267	Elizabeth Ford	682-49-1945	separated	6.70172	5.23128	4.74871	34.58364	yes	4.49903	1.00000	6.13889	6.51876	3.20883	7.96984	43.85055	35.74825	37.76618
3268	Brandon Mills	846-13-0413	widowed	6.33837	5.23456	4.04698	47.89908	yes	5.73413	1.00000	4.87028	4.95702	7.38401	3.88714	100.90966	32.25595	78.86296
3269	Ryan Ferguson	151-27-9847	married	6.01077	2.45545	5.71080	33.58409	no	5.11515	1.00000	3.00662	5.54012	4.29438	12.55144	65.70863	44.84568	60.88622
3270	Joshua Martinez	225-27-3565	divoced	5.53341	4.78412	6.66714	47.90613	Y	7.54474	1.00000	5.33995	5.95980	3.86699	8.35234	37.09935	42.09348	69.53735
3271	Samantha Johnson	157-15-9326	married	5.85926	6.28327	6.52970	58.66113	Y	8.65887	0.00000	6.55542	5.43802	4.05665	9.48164	25.54965	31.46952	24.73664
3272	Christina Lynch	253-48-6955	single	6.35187	7.70028	5.55000	29.50452	no	4.73354	1.00000	3.37996	7.94557	3.40375	10.61832	110.47757	51.49660	51.08636
3273	Eileen Morgan	695-20-2081	single	4.63387	7.52626	6.83295	77.94659	yes	8.50812	1.00000	7.22831	7.47783	4.21929	11.05778	56.60657	83.11658	24.46856
3274	Christine Hebert	521-10-7071	married	6.61703	4.37792	4.38891	50.20210	N	5.80128	1.00000	2.83509	8.89650	6.49703	3.92805	52.71388	41.14812	79.64309
3275	Susan Montoya	072-63-2461	married	4.41126	7.79428	6.40045	51.45535	yes	5.61432	1.00000	6.08490	6.53670	5.78785	11.75099	86.00905	32.73811	81.70217
3276	Robert Mckee	791-46-4393	single	4.76586	5.91921	4.37976	43.25383	no	4.37226	1.00000	5.27656	8.27850	5.67417	5.98924	45.74384	30.33488	31.03404
3277	Angela Chase	022-62-9438	divoced	4.14314	7.93274	4.36179	73.55567	yes	6.61228	1.00000	5.12859	8.43096	3.25068	9.99354	97.06657	36.62835	88.91851
3278	Nancy Sloan	136-19-6931	divoced	4.84130	8.10915	4.69995	30.36714	no	6.47506	1.00000	7.94506	8.28213	3.21066	7.01400	39.54036	35.01874	84.19135
3279	Kevin Parker	875-63-9679	nop	4.84955	7.85245	5.45073	40.05924	Y	4.25789	0.00000	8.59833	4.49126	5.58514	8.51055	89.76809	56.04630	31.59923
3280	Andrea Parker	330-90-3434	married	6.77507	7.29160	5.14527	36.01841	yes	6.79341	0.00000	6.89201	4.25058	4.39623	7.21793	121.05316	47.05977	79.99206
3281	Desiree Davies	174-52-2157	divoced	6.18736	4.73062	6.99187	46.39876	Y	6.44915	0.00000	7.09771	7.58428	5.40246	15.00976	67.28950	30.03724	84.11457
3282	Russell Pena	301-75-0219	divoced	4.27897	5.21503	6.54391	53.77793	N	6.54270	1.00000	5.15268	7.09010	4.99931	9.19014	110.23206	37.46392	84.34131
3283	Kristina Wong	070-55-0544	single	7.03362	7.77339	5.99906	38.20056	no	6.60549	1.00000	5.63110	7.10559	4.11960	11.93950	139.03959	42.08094	82.65711
3284	Julie Anderson MD	614-89-0093	single	5.74193	5.33671	6.46600	25.61571	no	4.83654	1.00000	5.68154	7.07943	3.81156	11.00311	30.13694	36.36665	47.12987
3285	William Carter	694-79-8923	separated	5.97892	3.29380	6.63997	63.00861	no	7.30795	1.00000	2.66743	7.49479	5.76138	10.08674	89.43346	34.90775	69.97240
3286	Sarah Walters	837-89-8147	separated	5.30929	7.12203	6.36811	25.23237	Y	3.68858	1.00000	5.23159	6.73626	4.82001	7.52612	71.77773	60.14257	19.15798
3287	Kayla Buckley	112-36-0991	separated	6.27766	7.44324	7.38100	50.21625	no	6.85186	1.00000	4.90076	7.43474	4.87852	15.94391	59.64238	38.78011	77.35481
3288	Reginald Arnold	089-80-7203	divoced	5.72216	7.88204	5.38478	27.61294	no	5.75342	1.00000	6.68341	6.93616	4.99583	7.66797	30.82502	36.93059	80.94733
3289	Dr. Michelle Garcia DDS	674-01-2544	married	5.03313	5.24762	5.66051	21.12785	yes	5.90829	0.00000	7.94095	5.65890	5.24210	11.55721	88.31811	43.71278	83.23474
3290	Jeffrey Newman	078-12-7108	married	4.48520	3.36505	4.85647	53.05274	no	7.18540	1.00000	3.48368	6.94711	5.77013	5.57147	20.75165	34.05789	71.44902
3291	Rhonda Buckley	029-12-9851	widowed	7.92191	4.23669	6.07704	45.76065	no	3.60662	1.00000	4.48721	6.60415	5.05029	10.70883	61.04972	65.23830	17.75790
3292	Julian Calhoun	144-85-6753	married	5.44461	7.43568	5.60764	43.83120	Y	4.66393	1.00000	4.89642	8.80255	2.96664	9.69933	56.15866	48.61698	51.23259
3293	Lauren Smith	364-09-9760	single	6.66501	6.62950	7.32809	62.27237	no	4.98436	1.00000	6.56568	5.34172	3.55203	14.03312	87.78608	65.44795	62.79507
3294	Scott Goodwin	571-60-6244	single	5.00557	7.06939	5.43416	38.84094	yes	5.55936	0.00000	8.33085	3.83234	4.11323	11.07941	48.99892	64.87493	79.90922
3295	Jared Murray	264-05-2086	divoced	3.99184	8.10411	7.27575	49.50911	Y	5.92979	0.00000	7.90449	4.18135	5.75028	12.60967	97.43245	48.19103	76.94423
3296	Stephen Flynn	284-38-0102	divoced	4.73689	4.84697	4.20732	43.40806	N	4.39177	0.00000	7.62906	7.71038	4.71736	9.20491	62.48010	51.16477	40.28559
3297	Julie Lopez	117-35-6588	married	5.42666	6.21806	4.93220	40.74997	no	2.83809	1.00000	2.18279	6.29793	4.63216	6.62226	68.35997	34.25607	18.27949
3298	Michelle Carter	414-34-2463	divoced	6.19297	7.69199	6.82115	50.62431	no	3.72240	1.00000	4.69054	6.87318	4.20850	11.06777	81.24528	40.39102	12.90663
3299	Diana Reid	608-33-0841	single	5.62967	6.65194	6.27008	40.64722	yes	4.03515	1.00000	4.59567	9.37590	5.99315	7.29736	115.42287	16.90060	18.17780
3300	Kimberly Ramsey	435-01-5384	separated	6.36017	8.37748	7.40689	65.55735	no	4.90731	1.00000	7.56358	7.54983	3.33504	15.14620	149.15660	27.12093	54.60497
3301	Rachel Jenkins	191-04-8091	married	5.67806	6.87926	6.02214	32.92996	no	6.15948	1.00000	4.17188	8.30159	3.72463	8.01652	71.45242	49.06891	84.79241
3302	Richard Pope	211-50-4238	separated	5.93063	6.67151	7.58781	49.44732	yes	4.66696	1.00000	5.75620	6.38940	4.70324	14.51228	105.50595	33.40379	42.49092
3303	Debbie Kidd	140-41-0895	married	3.19074	6.85910	5.70100	33.09539	no	6.10141	0.00000	8.15343	4.43140	4.79612	6.65548	95.23768	51.31052	89.23914
3304	Nicole Peterson MD	537-88-5728	divoced	5.73850	6.84374	5.23725	29.23880	no	5.84072	1.00000	4.45032	6.66700	4.78489	5.42972	80.49291	43.05991	90.57018
3305	Dustin Hunter	849-52-4894	married	4.27432	8.27166	4.13601	49.02108	yes	6.74328	1.00000	6.48293	6.77695	5.82816	8.61445	41.15079	38.42145	80.17681
3306	Rodney Johnson	254-91-5066	divoced	4.99879	4.55245	8.02651	21.76625	yes	6.79201	1.00000	5.66430	5.80322	3.25383	21.58309	26.07432	47.71735	84.85168
3307	Michele Dixon	366-40-0655	nop	4.74435	5.14797	3.24095	55.73004	Y	3.98393	0.00000	8.58911	6.55605	2.77130	7.22796	92.27464	47.65979	18.45744
3308	Joseph Stone	839-91-8463	single	6.09341	8.51901	6.47635	39.57021	no	7.52999	0.00000	8.09913	3.99938	6.33635	10.24683	50.36585	37.09093	61.81607
3309	Kimberly Anderson	667-04-2521	divoced	6.11406	8.97761	6.39104	40.42148	no	6.42108	0.00000	7.48081	4.20403	8.19729	8.65082	40.03436	46.76176	83.63927
3310	Adrian Stephens	288-71-2460	widowed	7.03617	4.47184	7.02017	53.30827	yes	6.05901	1.00000	5.63761	6.18351	3.74940	12.51382	118.78157	49.34337	85.29746
3311	Ryan Mayo	111-24-2173	married	4.98443	7.92716	6.89076	68.91547	no	6.06987	0.00000	7.03305	4.78191	4.96880	11.32295	128.89276	43.52904	85.92357
3312	Tammie Lewis	609-87-0945	married	6.24944	4.38572	5.40508	30.32384	no	6.56868	1.00000	4.42121	7.14097	4.14253	6.96365	70.24555	29.45123	89.93352
3313	Tracy White	564-20-3228	divoced	4.86558	4.56740	5.74157	29.38020	no	5.03549	0.00000	7.41128	6.10868	4.89499	7.95316	2.00997	57.66670	63.55278
3314	Anthony Rowland	078-87-3725	nop	6.25540	7.07394	6.87234	64.91441	yes	5.31124	1.00000	3.35486	6.05239	5.69336	10.04382	89.79393	39.61847	69.83516
3315	Thomas Chandler	410-52-3790	single	6.69288	6.75584	5.38261	40.77498	no	6.24271	1.00000	5.20644	6.53460	5.09168	8.43625	69.20883	29.63028	81.75079
3316	Edward Campbell	459-59-9617	married	4.70723	7.98493	5.44761	38.47140	no	5.79633	1.00000	3.01280	7.70828	3.26941	6.11134	126.56741	58.99211	83.45763
3317	Jonathan Vance	334-61-8852	single	6.96987	7.47717	6.60074	25.61403	Y	4.82028	1.00000	4.07019	6.96898	5.09631	8.17328	132.59255	41.44727	55.45102
3318	Thomas Copeland	367-18-7227	divoced	6.19070	6.03623	7.65880	46.54480	Y	7.14890	0.00000	9.22339	4.26563	3.82948	13.72671	93.57352	46.51581	71.49341
3319	Eric Aguilar	309-27-9728	divoced	6.73194	6.28958	5.87511	48.19124	N	6.90599	0.00000	7.10274	4.90205	3.76583	9.87401	79.21007	30.50565	80.82083
3320	Jacob Harris	252-19-1090	widowed	6.82935	5.24720	6.01184	46.57623	N	6.01783	0.00000	6.22252	5.99205	4.44507	12.74002	29.36864	14.86032	84.70811
3321	Dana Tapia	837-97-0924	married	6.96673	4.53256	5.99417	55.58732	no	4.70068	0.00000	7.35177	7.69217	4.62251	9.38818	68.09207	42.67894	47.00561
3322	Andrew Hahn	373-32-2524	widowed	4.68585	6.64412	6.00942	53.35444	no	5.33135	1.00000	4.16602	5.75077	6.66810	5.68818	51.48490	61.75357	69.71519
3323	Ryan Wagner	564-92-4955	married	4.45982	7.23387	6.35093	72.55471	no	6.51370	0.00000	6.76910	4.71100	3.80545	8.16679	99.46414	62.42152	84.40021
3324	Sandra Daugherty	297-77-3664	divoced	4.89548	5.36526	5.91277	48.85954	Y	6.29395	1.00000	5.55692	7.33099	4.63905	11.27936	21.86062	43.49505	85.26206
3325	Mary Watts	207-09-6077	divoced	6.80359	4.97788	5.02074	61.46646	Y	6.50819	1.00000	4.37827	7.15588	5.71071	4.71891	83.37958	20.11450	88.60659
3326	Scott Norman	428-65-5050	nop	5.55651	3.82693	4.91757	25.49328	Y	6.21285	0.00000	6.21439	8.45950	4.39342	7.19659	39.07322	31.45580	88.78745
3327	Amanda Mayer	728-88-9727	divoced	7.40847		6.46735	36.58158	no	4.36314	0.00000	8.96177	4.49321	3.49231	8.84243	85.61827	56.30676	38.09178
3328	Kayla Buckley	112-36-0991	divoced	6.43735	5.21936	7.82473	44.54789	yes	6.44069	1.00000	5.00005	6.70465	3.76535	14.95178	74.31548	75.09527	88.18405
3329	Gregory Rice	239-04-4450	divoced	6.81627	4.88770	5.48963	36.78680	no	7.01137	1.00000	5.02207	6.83821	5.12827	8.26544	17.46181	30.45449	79.24250
3330	Susan Gibson	587-81-4289	widowed	5.94151	5.73194	5.26647	41.29076	no	6.57405	1.00000	5.91903	7.61971	5.10072	10.09363	43.39136	62.32361	84.53014
3331	Christopher Anderson	306-87-3807	married	5.22739	5.58767	6.46827	33.10264	no	4.42544	1.00000	3.01893	7.24533	4.86751	9.15567	77.48728	43.16415	40.72092
3332	Jeremy Gardner	750-24-2966	single	4.94571	5.38611	7.55581	61.55922	no	6.24873	1.00000	3.83330	8.60410	6.24455	17.15056	81.82481	44.84124	84.48972
3333	Lisa Thomas	259-63-8450	divoced	4.59592	7.10216	5.69178	59.93002	no	5.37426	1.00000	5.36289	5.98532	6.07759	11.86120	43.10973	49.17842	67.11127
3334	Shannon Ellis	614-46-0192	separated	7.35120	6.88782	5.62873	47.06131	no	3.18276	1.00000	3.00009	7.90371	3.74674	9.52877	146.46009	44.50448	9.91617
3335	Lindsay Gibson	389-04-9183	widowed	5.82070	5.57245	7.02227	20.62263	no	5.52525	1.00000	4.40970	9.32845	7.63600	11.07291	123.21941	48.14541	73.93571
3336	Taylor Howell	038-30-2532	single	3.36752	7.31898	6.35651	26.59133	no	6.81001	1.00000	4.54556	7.83827	4.13907	9.44074	65.59131	61.38828	78.77621
3337	Rachel Barnes	278-15-8397	married	5.48672	5.09391	5.78325	33.89766	no	4.98476	0.00000	6.91267	6.10010	7.02918	9.32857	79.76655	48.73279	59.62497
3338	Michael Drake	846-42-8551	married	7.62076	5.24833	5.63120	62.33671	no	7.40426	0.00000	8.45136	5.27741	3.56054	9.89824	60.01229	45.20019	65.12554
3339	Jennifer Duran	761-81-7097	nop	6.37689	7.97537	4.09463	51.40446	N	5.70628	0.00000	6.96685	4.68381	5.70088	8.51739	44.24214	33.79636	81.96714
3340	Rodney Munoz	371-45-1010	widowed	6.13585	5.16380	6.08425	11.71585	no	4.76553	0.00000	8.87076	5.73601	3.06884	9.42680	45.98401	33.91130	53.24885
3341	William Suarez	830-72-7245	divoced	6.41276	2.28023	5.41274	47.24807	no	6.10452	1.00000	3.86312	5.35599	4.37938	9.37430	60.74378	56.38250	88.21359
3342	Gary Arellano	870-51-6287	nop	5.79342	7.38760	7.08011	40.71445	no	4.72123	1.00000	4.72306	10.24058	6.55375	12.31873	65.28343	51.09919	47.67122
3343	Adam Ellis	639-75-9208	widowed	6.61064	7.20831	5.48738	33.43539	no	6.53962	0.00000	7.72207	4.12469	4.33891	7.16842	81.91024	54.76602	85.30411
3344	Amy Russell	769-77-1358	married	5.62486	4.31044	5.04109	46.58777	yes	5.26668	0.00000	5.61465	8.55794	4.17549	6.04818	71.46308	47.68717	68.22601
3345	Jackson Nelson	729-49-6088	separated	6.33091	3.98060	5.21439	56.71636	N	5.84135	1.00000	3.93103	6.75875	4.82403	7.19243	88.42156	42.61846	83.76577
3346	Michael Davis	571-23-8258	nop	6.17480	4.77112	6.43931	49.79992	no	4.15604	1.00000	6.70108	5.53868	3.52914	13.37646	75.29848	65.45785	34.66066
3347	Mrs. Bonnie Herman	885-11-6032	separated	5.81477	4.75586	4.15497	45.77590	no	5.33666	0.00000	5.53376	7.35753	4.02940	7.71857	88.28242	41.62127	62.37663
3348	George Bridges	482-89-4525	married	5.30745	4.73004	6.49476	44.24982	no	6.83333	1.00000	6.13530	5.80345	3.49988	8.26913	91.55431	38.48686	86.20882
3349	Cheryl Espinoza	285-21-2261	married	7.51200	7.76244	7.44126	54.53403	no	5.50166	0.00000	6.76284	4.67239	6.51600	15.71446	83.99069	59.22703	76.09507
3350	Diana Wheeler MD	384-83-3383	nop	7.24616	4.00334	5.14654	47.79545	no	6.72240	0.00000	6.91813	7.28141	5.41930	10.89103	160.13313	39.41180	83.86678
3351	Jessica Mejia	625-90-1244	married	6.51336	5.30035	5.75900	36.88732	no	6.53339	1.00000	4.19588	8.46115	6.20770	7.99373	39.93442	50.22770	91.94724
3352	Matthew Cruz	129-91-5710	divoced	5.07119	6.16336	5.67977	30.48196	no	6.33165	1.00000	1.82738	6.98512	5.09156	6.79895	71.74784	55.79738	82.82207
3353	Jennifer Porter	164-95-6052	married	4.62996	6.58044	6.14941	43.90526	no	6.01449	1.00000	4.00597	6.90538	4.47397	10.84252	45.83795	59.20011	90.27046
3354	Nicole Wilson	339-22-1884	married	7.23738	6.73122	6.37878	40.55674	no	4.88006	1.00000	5.35710	8.96527	4.88193	6.80648	94.95926	29.77484	57.90586
3355	Joseph Daniels Jr.	149-28-6821	widowed	5.44234	7.63027	7.19204	35.04494	Y	5.94781	1.00000	4.66267	6.17077	6.79274	15.03405	72.28614	39.25926	79.79300
3356	Jennifer Reese	843-85-3376	married	6.80931	6.22788	5.98358	55.81542	no	5.56417	1.00000	3.07051	6.47507	4.93800	5.68014	60.63274	59.37829	76.79420
3357	Kristin Ramos	721-65-0391	single	5.24605	4.38876	6.59850	54.25642	no	5.42795	0.00000	8.24067	6.11228	4.82878	8.51478	152.38686	30.59997	70.62498
3358	Austin Bryant	163-49-7630	married	5.93241	4.36323	7.33465	59.54812	no	7.45590	1.00000	3.76781	7.14076	5.48377	11.29941	48.58719	40.13244	65.38517
3359	Brittany Rodriguez	676-61-7189	separated	4.60022	5.10692	7.57695	61.08593	yes	4.96753	1.00000	5.41863	7.17773	4.73982	16.91867	112.20560	30.84637	62.14513
3360	Nicholas Jones	678-43-2597	married	7.51546	6.07367	5.44184	21.88269	yes	5.51031	1.00000	4.94362	7.90727	3.52154	8.45778	-8.90112	42.74338	80.52645
3361	Stephanie Alexander	582-52-4989	single	7.44744	5.86179	5.96539	60.07593	yes	6.09419	1.00000	4.79425	7.96439	5.03353	8.92220	59.06279	43.42826	87.29199
3362	Penny Jordan	398-65-9042	single	5.94382	7.63696	5.60218	32.26552	Y	6.17965	1.00000	6.16167	7.30175	3.22599	14.28713	88.43272	43.85887	91.70317
3363	Suzanne Torres	537-60-1522	single	5.90819	8.24582	6.86682	62.26729	yes	6.64142	1.00000	7.23932	7.71259	4.70127		99.63859	38.89736	82.45724
3364	Autumn Herring	449-91-4872	divoced	4.70406	6.49124	5.29706	56.23037	Y	4.97301	1.00000	5.52367	8.95674	6.52102	9.19177	54.95602	45.41996	56.73504
3365	Cory Carter	583-69-2433	married	5.64149	4.09045	3.49941	19.99308	no	5.71677	0.00000	8.41343	7.50599	5.22936	7.91332	-25.46802	65.38005	82.34823
3366	Glenda Pruitt	671-22-5307	divoced	7.88540	3.30723	4.94589	39.10480	no	5.16220	1.00000	3.95038	5.99595	4.80376	7.76857	143.06812	48.91262	59.01414
3367	Marie Tucker	224-84-6233	widowed	6.64293	6.96147	7.38656	48.19508	no	6.71735	1.00000	3.54831	7.43362	4.62916	15.05494	48.79209	37.49044	81.01496
3368	Mr. Devin Cruz	509-29-2572	divoced	4.14833	6.69444	4.62476	18.27436	Y	5.83294	0.00000	7.37096	4.36904	4.66143	4.10305	87.46466	43.87771	84.90811
3369	Lisa Sanders	855-02-1079	separated	4.48262	3.25188	5.52252	31.86395	no	5.73812	1.00000	4.19205	6.04797	5.19226	4.06979	73.54079	28.04578	83.33391
3370	Penny Medina	413-75-6818	divoced	5.32319	6.90829	7.77736	38.41473	Y	6.07700	1.00000	3.08249	7.25546	4.08418	19.78591	-20.08567	37.29921	97.75138
3371	Tim Thomas	098-58-4314	widowed	5.24415	6.42754	3.90489	33.75167	no	4.55319	0.00000	1.11483	6.57373	6.68954	4.60293	93.19065	42.65646	47.90695
3372	Penny Jordan	398-65-9042	divoced	6.64873	7.45086	6.41971	45.15989	no	7.47045	0.00000	7.26055	5.38554	5.55852	11.08161	67.84639	44.34710	66.58265
